data_hora,pid,usuario,nomeProcesso,usoMemoriaProcessoMB,usoCpuProcesso,mac,ip
18-05-2026 20:45,2800,Sistema,svchost.exe,11.49,2.5,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,2996,DESKTOP-L723IV1,RobloxPlayerBeta.exe,157.01,3.7,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,4772,Sistema,MsMpEng.exe,294.64,0.6,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,6984,Sistema,RAPS.exe,14.5,1.2,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,7912,Sistema,audiodg.exe,54.32,12.4,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,9096,DESKTOP-L723IV1,explorer.exe,234.93,0.6,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,13404,DESKTOP-L723IV1,RadeonSoftware.exe,31.81,0.6,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,14548,DESKTOP-L723IV1,python.exe,43.9,95.2,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,15120,DESKTOP-L723IV1,Discord.exe,498.72,49.8,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,15560,DESKTOP-L723IV1,DiscordSystemHelper.exe,7.33,0.6,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,19292,DESKTOP-L723IV1,EpicGamesLauncher.exe,66.82,8.7,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,20900,DESKTOP-L723IV1,chrome.exe,236.06,0.6,E0-2B-E9-6D-2E-C3,192.168.100.34
18-05-2026 20:45,24724,DESKTOP-L723IV1,mintty.exe,19.14,3.8,E0-2B-E9-6D-2E-C3,192.168.100.34
